2014-08-26 10:32:33,356 [FelixStartLevel] INFO  org.cytoscape.datasource.biogrid.internal.BiogridDataLoader - * Processing local organism network file: BIOGRID-ORGANISM-Drosophila_melanogaster-3.2.95.mitab
2014-08-26 10:32:33,356 [FelixStartLevel] INFO  org.cytoscape.datasource.biogrid.internal.BiogridDataLoader - * Processing local organism network file: BIOGRID-ORGANISM-Caenorhabditis_elegans-3.2.95.mitab
2014-08-26 10:32:33,357 [FelixStartLevel] INFO  org.cytoscape.datasource.biogrid.internal.BiogridDataLoader - * Processing local organism network file: BIOGRID-ORGANISM-Mus_musculus-3.2.95.mitab
2014-08-26 10:32:33,357 [FelixStartLevel] INFO  org.cytoscape.datasource.biogrid.internal.BiogridDataLoader - * Processing local organism network file: BIOGRID-ORGANISM-Arabidopsis_thaliana-3.2.95.mitab
2014-08-26 10:32:33,412 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.ding.customgraphicsmgr.internal.RestoreImageTask - Custom Graphics Image property file loaded from: /home/tony/CytoscapeConfiguration/images3
2014-08-26 10:32:33,413 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.ding.customgraphicsmgr.internal.RestoreImageTask - Image loading process finished in 0.0 sec.
2014-08-26 10:32:33,413 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.ding.customgraphicsmgr.internal.RestoreImageTask - Currently,  0 images are available.
2014-08-26 10:32:33,496 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.ding.customgraphicsmgr.internal.RestoreImageTask - Image saving process finished in 0.085 sec.
2014-08-26 10:32:33,829 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,831 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,832 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,833 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,834 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,835 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,836 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,837 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,838 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,839 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,840 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,842 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,843 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,844 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:33,845 [FelixStartLevel] INFO  org.cytoscape.io.internal.write.AbstractWriterManager - adding IO taskFactory 
2014-08-26 10:32:34,733 [FelixStartLevel] INFO  org.cytoscape.view.vizmap.internal.VisualStyleImpl - New Visual Style Created: Style Name = BioPAX
2014-08-26 10:32:34,834 [FelixStartLevel] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - New visual Style registered to VMM: BioPAX
2014-08-26 10:32:34,835 [FelixStartLevel] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - Total Number of VS in VMM = 2
2014-08-26 10:32:34,841 [FelixStartLevel] INFO  org.cytoscape.view.vizmap.internal.VisualStyleImpl - New Visual Style Created: Style Name = BioPAX_SIF
2014-08-26 10:32:34,842 [FelixStartLevel] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - New visual Style registered to VMM: BioPAX_SIF
2014-08-26 10:32:34,842 [FelixStartLevel] INFO  org.cytoscape.view.vizmap.internal.VisualMappingManagerImpl - Total Number of VS in VMM = 3
2014-08-26 10:32:35,650 [FelixStartLevel] INFO  org.cytoscape.model.internal.CyNetworkFactoryImpl - CyNetwork w/ private tables created: ID = 2
2014-08-26 10:32:35,651 [FelixStartLevel] INFO  org.cytoscape.model.internal.CyNetworkFactoryImpl - CyNetwork w/ private tables created: Base Graph ID = 18
2014-08-26 10:32:35,729 [AWT-EventQueue-0] INFO  org.cytoscape.ding.impl.DingRenderingEngineFactory - %%%%%%% This view is DGV.
2014-08-26 10:32:35,729 [AWT-EventQueue-0] INFO  org.cytoscape.ding.impl.DingRenderingEngineFactory - DGraphView created as a presentation for view model: 31
2014-08-26 10:32:35,730 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.io.internal.read.GenericReaderManager - Filter returns Accepted.  Need to check priority: org.cytoscape.io.internal.read.vizmap.VizmapXMLReaderFactory@7ea026e2
2014-08-26 10:32:35,730 [Task-Thread-1-Factory-0x21b4406c] INFO  org.cytoscape.io.internal.read.GenericReaderManager - Successfully found compatible ReaderFactory org.cytoscape.io.internal.read.vizmap.VizmapXMLReaderFactory@7ea026e2
2014-08-26 10:32:35,730 [AWT-EventQueue-0] INFO  org.cytoscape.ding.impl.DingRenderingEngineFactory - %%%%%%% This view is DGV.
2014-08-26 10:32:35,730 [AWT-EventQueue-0] INFO  org.cytoscape.ding.impl.DingRenderingEngineFactory - DGraphView created as a presentation for view model: 31
2014-08-26 10:32:35,731 [AWT-EventQueue-0] INFO  org.cytoscape.ding.impl.DingRenderingEngineFactory - %%%%%%% This view is DGV.
